METADATA
initial_wait: 300
measures: 10
period: 1
depth: 0.90
lat: 0.00
lon: 0.00
timestamp: 2018/7/5 13:1:47
sample_counter: 1
name: KduinoPro3
maker: ICM-CSIC
curator: ICM-CSIC
email: 
sensors: TCS34725
description: Buoy1 KduinoPro3 depth09
place: lab ICM
units: counts, counts, counts, counts, lux, degree_celsius
DATA
DATE HOUR RED GREEN BLUE CLEAR LUX COLOR_TEMP
2018/7/5 13:2:0 10 10 8 29 6 5147
2018/7/5 13:3:0 11 12 10 31 8 5780
2018/7/5 13:4:0 11 12 10 32 8 5780
2018/7/5 13:5:0 11 12 10 31 7 5589
2018/7/5 13:6:0 26 26 22 69 16 5507
2018/7/5 13:7:0 19 19 15 51 12 4861
2018/7/5 13:8:0 1 1 1 3 0 6298
2018/7/5 13:9:0 5 6 5 14 3 6573
2018/7/5 13:10:0 47 52 45 136 34 6205
2018/7/5 13:11:0 40 47 40 120 31 6393
2018/7/5 13:12:0 44 50 43 131 33 6234
2018/7/5 13:13:0 45 51 44 132 33 6405
2018/7/5 13:14:0 44 51 43 131 34 6207
2018/7/5 13:15:0 43 49 42 128 32 6342
2018/7/5 13:16:0 23 33 28 82 24 7194
2018/7/5 13:17:0 0 0 0 0 0 65535
2018/7/5 13:18:0 0 0 0 0 0 65535
2018/7/5 13:19:0 0 0 0 0 0 65535
2018/7/5 13:20:0 3053 3802 3307 10008 2588 6983
2018/7/5 13:21:0 2387 3242 2727 8274 2344 6857
2018/7/5 13:22:0 2255 3138 2616 7937 2305 6831
2018/7/5 13:23:0 2176 3082 2558 7753 2285 6835
2018/7/5 13:24:0 2114 3039 2514 7609 2270 6842
2018/7/5 13:25:0 2044 2976 2455 7422 2236 6852
2018/7/5 13:26:0 1991 2936 2415 7292 2219 6861
2018/7/5 13:27:0 1958 2914 2393 7218 2212 6868
2018/7/5 13:28:0 1931 2887 2368 7141 2197 6869
2018/7/5 13:29:0 1908 2865 2347 7076 2184 6871
2018/7/5 13:30:0 1895 2862 2343 7058 2187 6879
2018/7/5 13:31:0 1871 2830 2316 6976 2164 6878
2018/7/5 13:32:0 1860 2820 2306 6947 2159 6877
2018/7/5 13:33:0 1855 2821 2306 6944 2162 6880
2018/7/5 13:34:0 1851 2815 2301 6931 2158 6881
2018/7/5 13:35:0 1855 2816 2302 6935 2157 6877
2018/7/5 13:36:0 1862 2825 2309 6957 2164 6875
2018/7/5 13:37:0 1866 2831 2314 6971 2168 6875
2018/7/5 13:38:0 1860 2821 2306 6947 2160 6873
2018/7/5 13:39:0 1863 2830 2313 6966 2169 6876
2018/7/5 13:40:0 1854 2817 2302 6933 2159 6875
2018/7/5 13:41:0 1853 2821 2304 6940 2164 6875
2018/7/5 13:42:0 1847 2816 2299 6923 2162 6875
2018/7/5 13:43:0 1847 2819 2302 6929 2165 6879
2018/7/5 13:44:0 1839 2809 2292 6903 2158 6876
2018/7/5 13:45:0 1837 2807 2291 6897 2157 6877
2018/7/5 13:46:0 1841 2816 2298 6917 2164 6882
2018/7/5 13:47:0 1836 2810 2292 6902 2160 6880
2018/7/5 13:48:0 1836 2811 2293 6903 2161 6881
2018/7/5 13:49:0 1837 2811 2293 6904 2161 6881
2018/7/5 13:50:0 1830 2800 2284 6878 2153 6877
2018/7/5 13:51:0 1829 2799 2283 6874 2152 6878
2018/7/5 13:52:0 1837 2811 2294 6904 2162 6879
2018/7/5 13:53:0 1834 2805 2288 6889 2156 6879
2018/7/5 13:54:0 1836 2809 2291 6898 2159 6878
