,RED_13_RED_14,RED_13_RED_15,RED_13_RED_17,RED_13_RED_18,RED_13_RED_19,GREEN_13_GREEN_14,GREEN_13_GREEN_15,GREEN_13_GREEN_17,GREEN_13_GREEN_18,GREEN_13_GREEN_19,BLUE_13_BLUE_14,BLUE_13_BLUE_15,BLUE_13_BLUE_17,BLUE_13_BLUE_18,BLUE_13_BLUE_19,CLEAR_13_CLEAR_14,CLEAR_13_CLEAR_15,CLEAR_13_CLEAR_17,CLEAR_13_CLEAR_18,CLEAR_13_CLEAR_19,RED_14_RED_15,RED_14_RED_17,RED_14_RED_18,RED_14_RED_19,GREEN_14_GREEN_15,GREEN_14_GREEN_17,GREEN_14_GREEN_18,GREEN_14_GREEN_19,BLUE_14_BLUE_15,BLUE_14_BLUE_17,BLUE_14_BLUE_18,BLUE_14_BLUE_19,CLEAR_14_CLEAR_15,CLEAR_14_CLEAR_17,CLEAR_14_CLEAR_18,CLEAR_14_CLEAR_19,RED_15_RED_17,RED_15_RED_18,RED_15_RED_19,GREEN_15_GREEN_17,GREEN_15_GREEN_18,GREEN_15_GREEN_19,BLUE_15_BLUE_17,BLUE_15_BLUE_18,BLUE_15_BLUE_19,CLEAR_15_CLEAR_17,CLEAR_15_CLEAR_18,CLEAR_15_CLEAR_19,RED_17_RED_18,RED_17_RED_19,GREEN_17_GREEN_18,GREEN_17_GREEN_19,BLUE_17_BLUE_18,BLUE_17_BLUE_19,CLEAR_17_CLEAR_18,CLEAR_17_CLEAR_19,RED_18_RED_19,GREEN_18_GREEN_19,BLUE_18_BLUE_19,CLEAR_18_CLEAR_19
36,0.9994764293438184,0.9588251222164685,0.978299067244918,0.9983034536573046,0.998161380368007,0.9994175929499052,0.9589902283223455,0.9786092328785941,0.9982884040136171,0.9981782042294929,0.9993702092002048,0.9621309243585702,0.9803042203576854,0.9986818159791006,0.9982335352160242,0.9994733266736111,0.9570597545707578,0.9773677804267193,0.9982105947772967,0.9980718734322864,0.9593375162165301,0.9787663740309278,0.997484825442424,0.9978359477746829,0.9593261377634207,0.9789629962833041,0.9973030858763366,0.9978440272401768,0.9620078831407778,0.9799106381639191,0.9974983796568394,0.9980812302145787,0.9579680415734563,0.9783288889628071,0.9974662124929399,0.9976706112043958,0.9924143759028535,0.9605824897038989,0.9493368413183405,0.9925985247521592,0.9610314532845129,0.9495940379631701,0.99257788921994,0.9635494341087254,0.9528899510347159,0.9925270387448045,0.9592237984046437,0.9473725996469947,0.9791818690488007,0.9693115961172302,0.9796750944462147,0.969862748293551,0.9808955619097609,0.9714346991404841,0.9783673587267349,0.9683284546718667,0.9977835441278726,0.9976957715262609,0.9978162710851611,0.9977671938421415
37,0.9996285596882978,0.9609173925983852,0.9804246985387316,0.9986581286414171,0.9983440187476212,0.999597906318261,0.9610332755825886,0.9805599480932432,0.9986719537612273,0.998437386410906,0.9995287170556985,0.9639054878887724,0.9821635517363668,0.9989981021225857,0.9984537968007664,0.9996188481902283,0.9591525499912402,0.9794876325145115,0.9985681362538309,0.9982590561748312,0.9610620264962102,0.980369587109762,0.9981434034053067,0.9983329501399162,0.9610570254955292,0.9804881974823758,0.9979993816487565,0.9983402825065288,0.9635856724931718,0.9814439950489502,0.9981517069763461,0.9985261345185587,0.9596884426005631,0.9799573388305939,0.9981748998218763,0.9981870280166842,0.9925457872833761,0.9621427496607787,0.952106305558725,0.992605789284925,0.9625957440794101,0.9523692937558647,0.9927152664111384,0.9649768512332081,0.9553606385985188,0.9925864403887543,0.9607946443731971,0.9501486013258513,0.9813805724425543,0.9725421779358198,0.9817851079218965,0.9728717703702436,0.983009257144121,0.9744488289495331,0.9806161791885485,0.9715065580517,0.9979402046812317,0.9978670684067923,0.9979641206824066,0.9979437939050214
38,0.9995972348386585,0.9540467718975889,0.9762938188444091,0.9985616907038455,0.9982149054735595,0.9995851565245732,0.954280975333815,0.9764976564092718,0.998604006359831,0.9982713289522417,0.9994990948267352,0.9571658628041035,0.9783969274952845,0.9989523961059968,0.9982743903060459,0.9995891906278689,0.9522760988090911,0.9752156296545839,0.9984988624165528,0.9981254401418995,0.9548946331020117,0.976893323004522,0.997921001123626,0.9979904727459776,0.954963574760827,0.9769966106476455,0.9977615024368892,0.9980028204448319,0.9573826369834726,0.9781172715609958,0.997904662727083,0.9982067878427561,0.9536338234395797,0.9763728975201637,0.9979728965547884,0.9978253897645986,0.9920114505014479,0.9551417422535345,0.943639644112896,0.9920319986032599,0.9557360133112146,0.9440339219129903,0.9920291360640878,0.9580724241099867,0.9470697735696848,0.9920806540687558,0.9538163383692329,0.9417353632385143,0.9778878281605301,0.9669367552801483,0.9782785579456071,0.9672807867848467,0.9797580091172824,0.9691497363850098,0.9769531248645114,0.9657423467125036,0.9973628004280402,0.997283499742779,0.9974095955269158,0.9973514755775367
39,0.9996061332627265,0.9500458765658208,0.9744242211142381,0.9985982872499324,0.9982004504605168,0.9995783739943511,0.9501386534680196,0.9745607214882799,0.998602537067613,0.9982205108906688,0.9994694948845957,0.9531030095426297,0.9765010189729814,0.9989288163579927,0.9982312312729296,0.9996008717777142,0.9478886178759413,0.9731634153996789,0.9985074828108329,0.9981355926357828,0.951692381178904,0.9754636794285292,0.9976052539713413,0.9975714859199544,0.9516725730594192,0.9755495916638323,0.9974604174425317,0.9975635177633377,0.9544074174336009,0.9768742927021637,0.9976366754390316,0.9978275431908236,0.9501396302422607,0.974820530856297,0.9976168227687818,0.997365066102618,0.9919614043809628,0.9498974091751289,0.9374599767131672,0.991954755783985,0.9503245924110091,0.9377001647935976,0.991867321803095,0.9531294268999073,0.9413368704861464,0.9920222311873981,0.9481488026460715,0.9351502274563334,0.9748756220387735,0.9634473471263353,0.9751555257427037,0.9636856221152128,0.9768844014182183,0.9659085474839912,0.9737141594565015,0.9620407356296008,0.9974476396375652,0.9973701376130323,0.9975298862817166,0.9974438197910851
40,0.99948901472169,0.9513522673911414,0.9747027007643225,0.9984074174067018,0.9981821683623708,0.9994282350442564,0.9515634278674714,0.9748332526172432,0.998400533244787,0.9982770809640935,0.9993289759798586,0.9543974346818355,0.9768137780983823,0.9987723955611488,0.9982873395082501,0.9994777250260324,0.9496765291539491,0.9735569106153671,0.998314453885463,0.9980833609586116,0.9523790274681629,0.9753652606390183,0.9978423691208557,0.9980965406898993,0.952471363831047,0.9754447855295224,0.9976738121665598,0.9981131472185459,0.9549396671773306,0.9766780050808644,0.9978000226829528,0.9983030481579087,0.9511741181086676,0.9747684201664751,0.9979266789526327,0.9979708054007027,0.9922738977861975,0.9534387893456695,0.941318235202002,0.9923337798293583,0.9541057744773809,0.9417544295011053,0.9923269771457973,0.9563074778921645,0.9446994982068674,0.9923732123614718,0.9522623361189139,0.9394407682087944,0.9769560559716135,0.9659771787239311,0.9774215532890713,0.9663162849443567,0.9788901171071066,0.9682544493300713,0.9760650612482348,0.9646720130022024,0.9974161938410909,0.9973255729386319,0.9974256233071249,0.9974182511867192
41,0.9995944000765017,0.9530026030062448,0.9756911841227526,0.9986360974403042,0.998217055630321,0.9995816161031364,0.9531478423170369,0.9757868804336387,0.9986553785777434,0.9982768532298715,0.9994845443016298,0.9559942393332777,0.9776829440022275,0.9989774071905244,0.9982694760137127,0.9996016893353189,0.9512095411404025,0.974535478103996,0.9985681453045844,0.9981295313153153,0.9540001431138456,0.9763856424885418,0.9978348019400954,0.9978452469548228,0.9539744644074575,0.9764069007601434,0.9976709109370305,0.9978427290124843,0.9565334543429713,0.9776547444386426,0.9978138825529936,0.9980488605045854,0.9526757930812385,0.9757639229947556,0.9978472173456653,0.9976599125326088,0.9922709638814767,0.9542370263051105,0.9425704981937307,0.9922572060767588,0.954747941296032,0.942846258730156,0.9922421953446302,0.9570844883025117,0.9458624060914211,0.9923781801241851,0.9527985762032846,0.9404728619684135,0.9766508258683505,0.9660729007729592,0.9769286706487805,0.9662976887641813,0.9784776936412526,0.9681877671103662,0.9755479835461844,0.9646936471512969,0.9977595461603005,0.9976785021736614,0.9977641255217534,0.9977675766630514
42,0.9995034850338481,0.9519190909766486,0.9754237588763796,0.9986262739969205,0.9984028764193422,0.9994377130813629,0.9521439265248395,0.9756009875390377,0.9985859331161396,0.9984501748987037,0.9993696959679764,0.9550665557023564,0.9776258928435321,0.9989328930103142,0.9984240179565974,0.9995012095337558,0.9500668988274525,0.9742165492311478,0.9985559318261946,0.9983288407150277,0.9530043334274196,0.9758082221333434,0.9978479195927166,0.9981421189202051,0.953150114231228,0.9759605446977444,0.9976680607408396,0.998140105668314,0.9556569690691757,0.9772262836079496,0.997816218475571,0.9983284790300571,0.9518036756154363,0.9752370998824127,0.9979236796767671,0.9980017736957258,0.9921147718756722,0.9522542502054421,0.9406008995938882,0.9921956378852143,0.9529471303740588,0.9410936869316631,0.992132138618121,0.9554279590810008,0.9442125170011383,0.9922312587304486,0.950966005930646,0.9386523660035168,0.9766032698249048,0.9658880231933803,0.9770808369346566,0.9662926419762742,0.9787263791503304,0.9683316442083086,0.9756210035650523,0.964583171196223,0.9974447751220492,0.9973668278522865,0.9974693787818509,0.9974490353018046
43,0.9994875594659925,0.9473026004512339,0.9729680216720443,0.9985114619511493,0.9981189870524046,0.999427595348463,0.9474562127189468,0.9731043890387596,0.9985087526150392,0.9981826876002214,0.9993279297444414,0.9502668015884324,0.9751060087283684,0.9988758570189413,0.9982648749158641,0.9994431442338311,0.9453832539958414,0.971674819237029,0.9984146031142057,0.9980090417765772,0.9500542202016148,0.9746337867120792,0.9977211700405284,0.9975775704290124,0.9501522152526549,0.9748041338005504,0.9975442400383252,0.9975395986007525,0.9526177724650452,0.976050146641393,0.9976697490566201,0.9978227229615998,0.9488426601509549,0.9740998135245867,0.9977674915410949,0.9973526476359814,0.9919287313626318,0.9483022852136412,0.9356554994030853,0.991963560148768,0.9487921491016449,0.9359202437244952,0.9919094463129735,0.9511041789974174,0.9391894196176384,0.9920194793956252,0.9468040848420142,0.9334369831510059,0.9745562766696227,0.9627427324770597,0.974921258872933,0.9630162659430442,0.9765074098770244,0.9652824229790298,0.9734556142433729,0.9612384129949179,0.9972639271971755,0.9971799717065447,0.9973102349658288,0.9972492466433149
44,0.9996972937423468,0.9595086971981035,0.9790442979989304,0.9987975699220466,0.9983369990632538,0.9996350273185349,0.9596543141267599,0.9791054386258844,0.9987941778178895,0.998385975847307,0.9995671029849008,0.9624403344373804,0.9808554801997273,0.9990968500555266,0.9983746863179686,0.9996747204826558,0.9579682712151361,0.9779906553045747,0.9987283604857504,0.9982702234897763,0.9600227416138909,0.9791025517907672,0.9981778965652475,0.9981873742882507,0.9600286720946243,0.9791618118491328,0.9980346316191473,0.9982138521468683,0.9623815708653363,0.9802120835204778,0.9981604513510623,0.998413880391578,0.9587878826403793,0.978507502135272,0.998260908474828,0.9980704033364842,0.9929129446465114,0.9611641096858462,0.950387982529744,0.9929043083183188,0.9617466061091173,0.9507775178178038,0.992963587007713,0.9638773967509388,0.9535959158678593,0.9930060317431251,0.9600435421891281,0.9486540075855424,0.980602207490639,0.9703845248774077,0.9809618746675396,0.9706796690107997,0.9822143320317253,0.9723637119411906,0.9797325171321197,0.9691836670383033,0.9975740582702569,0.9974957123986292,0.9976172561358944,0.9975719251541768
45,0.9998044914020155,0.9630352314542368,0.9813645478057725,0.9985418592902678,0.9979937021390629,0.9997662857374391,0.9631290207238578,0.9815765984585951,0.9985369286140552,0.9979910867963966,0.999672994659475,0.966203807983975,0.9831567544594553,0.9988647882901539,0.9980742769156433,0.9998034941392064,0.9613653485963144,0.9804729425793667,0.9984389938069419,0.9978483059363855,0.9632849342236778,0.9809593415068075,0.9980735435041153,0.9982389474755015,0.963206840855877,0.9810717890761141,0.9979289489700746,0.998223822869302,0.9658473836677699,0.9819788138916061,0.9980685751375149,0.9984319373410935,0.9618635040984669,0.980459566835626,0.9980998589574163,0.9980834366739678,0.9927628973825928,0.9648526136228955,0.9544990042264851,0.9928945702119679,0.9652615637799663,0.9546675189147902,0.9929892995807951,0.9676077105888565,0.9578425536840328,0.9928994560543798,0.963539420448918,0.9525266684609537,0.9822784319445891,0.972638388801669,0.9826942863547978,0.9730330888143595,0.9837396119364483,0.9744866034424106,0.9814894929118462,0.9715788874547229,0.9978330791395313,0.9977462637010983,0.9978696754970608,0.9978044969393938
