time,kd,r2
2018-08-22 11:50:00,2.182736205737848,-0.9929951205306334
2018-08-22 11:51:00,2.0777289849529517,-0.9960638610789823
2018-08-22 11:52:00,2.10573143814085,-0.9993231892168433
2018-08-22 11:53:00,2.076516565895646,-0.9969355259798449
2018-08-22 11:54:00,1.9440165137566643,-0.9982875977691775
2018-08-22 11:55:00,2.0972195595630936,-0.9993488895104495
2018-08-22 11:56:00,2.0408882181243433,-0.9995814324087997
2018-08-22 11:57:00,2.078637451068366,-0.9979233719843853
2018-08-22 11:58:00,2.1440523029769247,-0.9985817256139883
2018-08-22 11:59:00,2.0684530351773183,-0.9999265156912585
2018-08-22 12:00:00,2.0085973785226483,-0.9990832343682093
2018-08-22 12:01:00,2.0868969170295375,-0.9995903219392814
2018-08-22 12:02:00,2.05759047481842,-0.9996055341037503
2018-08-22 12:03:00,2.0235361480524254,-0.9996448028997729
2018-08-22 12:04:00,2.027167171319135,-0.9993450482446048
2018-08-22 12:05:00,2.082965902917441,-0.9997713809074623
2018-08-22 12:06:00,2.086313607391606,-0.9995407965770766
2018-08-22 12:07:00,2.0385410619609394,-0.9988346679681719
2018-08-22 12:08:00,2.011954708528853,-0.9988879297896687
2018-08-22 12:09:00,2.039088296317646,-0.9966713396421475
2018-08-22 12:10:00,1.9420144027278703,-0.9963495426013682
2018-08-22 12:11:00,2.0366779043450283,-0.9974946561398919
2018-08-22 12:12:00,2.0304340873178353,-0.9992775692840743
2018-08-22 12:13:00,2.0851411842981484,-0.9976497619526603
2018-08-22 12:14:00,1.9896300045669006,-0.9988968619742118
2018-08-22 12:15:00,2.0418540170769464,-0.9990411246491068
2018-08-22 12:16:00,2.104524972929862,-0.9975223181374719
2018-08-22 12:17:00,2.054120671143325,-0.9941052543888724
2018-08-22 12:18:00,1.9866216823276461,-0.9984238826612236
2018-08-22 12:19:00,1.9392863852625362,-0.994683143754959
2018-08-22 12:20:00,2.0265108066882243,-0.9988027667523328
2018-08-22 12:21:00,2.0232214567740296,-0.9966679268352258
2018-08-22 12:22:00,2.0473378121931844,-0.9971364238936051
2018-08-22 12:23:00,2.0329053756255213,-0.9993442347878004
2018-08-22 12:24:00,1.988044608112656,-0.9996061030026299
2018-08-22 12:25:00,2.113636378414018,-0.9966111174514923
2018-08-22 12:26:00,2.1053074271957044,-0.998987903682663
2018-08-22 12:27:00,2.0406491522952224,-0.9993050610845342
2018-08-22 12:28:00,2.020332612616827,-0.9988223329111972
2018-08-22 12:29:00,2.11408656139212,-0.9945269204137734
2018-08-22 12:30:00,2.0042372703114464,-0.9985039215514823
2018-08-22 12:31:00,1.9598919882237567,-0.9984795639769519
2018-08-22 12:32:00,2.09009055177933,-0.9980771669112559
2018-08-22 12:33:00,2.039157950365434,-0.9997319060898895
2018-08-22 12:34:00,2.111494477155936,-0.9981883152672409
2018-08-22 12:35:00,2.00141325900828,-0.9991578872613263
2018-08-22 12:36:00,2.027198709207601,-0.9993784218212409
2018-08-22 12:37:00,2.0609984715325185,-0.9979939127624807
2018-08-22 12:38:00,2.0399333536316124,-0.9958873173837401
2018-08-22 12:39:00,2.0370784496079,-0.9983282083279738
2018-08-22 12:40:00,2.0479655064847337,-0.9969943867992577
2018-08-22 12:41:00,2.151402080889624,-0.9951209551118203
2018-08-22 12:42:00,2.0424640490980224,-0.9995135346618993
2018-08-22 12:43:00,2.025172812117909,-0.9994927689596514
2018-08-22 12:44:00,2.0812626746841674,-0.9992065807784883
2018-08-22 12:45:00,2.008761238648819,-0.9997777258285071
2018-08-22 12:46:00,2.0673614551892707,-0.9998927181084091
2018-08-22 12:47:00,2.0931312852144375,-0.9993575455862831
2018-08-22 12:48:00,2.0335914120077763,-0.9997644330117801
2018-08-22 12:49:00,2.022224386990824,-0.9996803038913263
2018-08-22 12:50:00,2.028776690441912,-0.9998143457339429
2018-08-22 12:51:00,2.027952740249748,-0.9997528247897514
2018-08-22 12:52:00,2.0317066939116972,-0.999757041409702
2018-08-22 12:53:00,1.9894577554340849,-0.9996401050375876
2018-08-22 12:54:00,2.0111648581281774,-0.9998744413784152
2018-08-22 12:55:00,2.0299429424093716,-0.9999267235352436
2018-08-22 12:56:00,2.0212556405261717,-0.9998258725420817
2018-08-22 12:57:00,2.0055511483097646,-0.9997576672545981
2018-08-22 12:58:00,2.0275990936723867,-0.9997601177043858
2018-08-22 12:59:00,2.0402552994868746,-0.9995965664973853
2018-08-22 13:00:00,2.0541919622755067,-0.9989516179371477
2018-08-22 13:01:00,2.0493449367510403,-0.9998857254815835
2018-08-22 13:02:00,2.0329457959562895,-0.9998235454625088
2018-08-22 13:03:00,2.0353644968987816,-0.9998890111991816
2018-08-22 13:04:00,2.0242539756076314,-0.9997223540128535
2018-08-22 13:05:00,2.0430509078507892,-0.9997122023689624
2018-08-22 13:06:00,1.9786937200064862,-0.99906877346246
2018-08-22 13:07:00,1.9671495150510752,-0.9995562154841596
2018-08-22 13:08:00,2.0033139374731084,-0.9998134390277221
2018-08-22 13:09:00,2.0238346673502527,-0.9998575097881192
2018-08-22 13:10:00,2.0520833831614107,-0.9998563345580429
2018-08-22 13:11:00,2.0336435322910744,-0.999392035566107
2018-08-22 13:12:00,1.9862350218406086,-0.9996386952606272
2018-08-22 13:13:00,2.049174628890502,-0.999621765894923
2018-08-22 13:14:00,1.9950306526291357,-0.9996436017534291
2018-08-22 13:15:00,2.058480624170277,-0.9987978629581169
2018-08-22 13:16:00,1.9935328077670897,-0.9993279606819149
2018-08-22 13:17:00,1.8594746554541368,-0.9992853702437973
