 sensors 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
0 RED_14_RED_15 0.2450114485849081 0.26248481883288743 0.27541980831335844 0.2776174731378952 0.27764126523678156 0.28196970721659803 0.2862327517137328 0.2962165597629358 0.2965368601237709 0.2904616505720049 0.3040428357938821 0.29485560934917043 0.3028771780655893 0.3146091978366867 0.2975717304879861 0.3289034805192893 0.32011489767470264 0.341651318174811 0.3299979465444015 0.3177588927425983 0.33399981101380943 0.31810917411835543 0.3594012671044657 0.353466647713762 0.3283513310906649 0.4049224031527131 0.33072703603928555 0.3682413105506022 0.3842658435348833 0.3342945987479272 0.40791434009525823 0.366388814813193 0.408681024391248 0.4048835154291099 0.425131011437175 0.4167853638959922 0.4606276587855782 0.3717185554443954 0.46592567029194115 0.3962727386938767 0.43853569292720573 0.39984272735237963 0.44062278294826185 0.434187554719279 0.43554609359690005 0.39922515610604586 0.4192065323629919 0.4452678072917989 0.47375233991430404 0.4094890165394568 0.46549078689892115 0.43562841911114497 0.4599327472119102 0.4369861569789891 0.4736815293861138 0.4924549220291629 0.5508427484185539 0.3916959426093777 0.434575706852414
1 RED_14_RED_17 0.22582209424165497 0.23927979223435294 0.244322037874725 0.25357791057842444 0.24882425295349667 0.25192606909125703 0.26364283025657315 0.27437681180436424 0.27241759263579135 0.26180463405631954 0.2710814933766202 0.26358723582062316 0.29746825117915987 0.273391464029908 0.2576658460680258 0.29922719154107236 0.28227125652786356 0.31617454933718253 0.2974941626425149 0.2857381838411177 0.3108968326299276 0.30515568771808127 0.30710222920571023 0.30907096599144823 0.28316446543960894 0.3072852856308415 0.29569718300480313 0.30426471456474186 0.33274821154814094 0.27661514580014274 0.29604925265262716 0.3283672882594243 0.2730890185777821 0.3133306112742172 0.3238064860717473 0.32120583805528 0.3040622242519894 0.3609836732090085 0.2996346102719776 0.3650658900570703 0.3267663010769956 0.3463569950399278 0.32636173919027717 0.2308109514556412 0.3034075423844165 0.33182489248870345 0.354590202210032 0.39966982926746586 0.34303838551054483 0.2749791609776431 0.33948955426531713 0.2522404341039081 0.2949075954920573 0.35626363699409913 0.3213083614492138 0.38882249179890793 0.40440808918281057 0.3018012113444807 0.2894297213570017
2 RED_14_RED_18 0.8481204528846774 0.8719344771790879 0.8880048855112097 0.8997593889282887 0.9042930689291845 0.9131297521007073 0.9138894432513968 0.9183432292424737 0.929615670744603 0.9261391303452833 0.9406168570270584 0.9451225542380449 0.9357529995252368 0.9385318630725796 0.9553126986522299 0.9498490098897311 0.9512081348784699 0.9519343236534276 0.9548809818543368 0.9564922782059055 0.9491962664014327 0.9594099582036284 0.962894531388173 0.9678205388577049 0.9588787232639537 0.9581953178940407 0.9564649209735282 0.9542322265622152 0.951956370002027 0.9708262811870947 0.959621454861537 0.9673564749842519 0.9619781035305038 0.9752263478847969 0.9652413311805824 0.9745650162409039 0.9662415842504894 0.9674060590678761 0.9704650162102355 0.9762216377343622 0.9748719747045448 0.9690201020465635 0.9763881064569642 0.9648928522487404 0.9778334736976237 0.9682954161506853 0.9735982461897088 0.978111578909122 0.9700713406429888 0.9795284053072968 0.9517853664159686 0.9726288671782187 0.9683643170453408 0.9769414967089185 0.9716040642369582 0.9760785656639059 0.9734642723229381 0.9772628183808239 0.9788991136080195
3 RED_14_RED_19 0.8578442995472911 0.8939271114437466 0.9090366065843558 0.9145200236238924 0.9203500350403708 0.9292125678257915 0.9430122126337561 0.935944255242892 0.9508958020331765 0.9405011361165949 0.9538028949311691 0.9504868459667036 0.952600683613638 0.9505953466859791 0.9581461942387777 0.9642554888140027 0.9630248767156929 0.9684212470060002 0.9618870024306302 0.9616371601268838 0.970373355777024 0.9659748019250529 0.9675882588414305 0.9680001676276299 0.9738001740184029 0.9665314087767759 0.9721688799586621 0.9719003165543014 0.975595584673258 0.9740045712205023 0.9700805029376421 0.9735941078124962 0.9712987430340453 0.9770782123352922 0.9730560390171542 0.9781726593507355 0.9679953531168758 0.972873014268563 0.9774312388077249 0.9787109768477982 0.9775562804118808 0.9757098346172511 0.979527797574236 0.9714342051912276 0.9855937218919634 0.9734262058895401 0.9665282713199981 0.9855921168455579 0.9777519266315485 0.9843743654170236 0.9602935072849031 0.9717246349300865 0.9751049830980856 0.9831103018630633 0.9819489416687515 0.9833114254550981 0.9824416550250552 0.9833413269114271 0.9834004224096842
4 GREEN_14_GREEN_15 0.24247569084608786 0.25811038439580575 0.26975789170071407 0.27188894992362955 0.2717546401804346 0.2759477962109184 0.2793983686494787 0.2896878753892027 0.2893447751735241 0.2838149540425497 0.2960418058331635 0.28775215805409926 0.29461339404016396 0.306845947637688 0.2906193628272678 0.32170146991552123 0.3108633021191385 0.3330180741234358 0.3203396327751639 0.3106287813208222 0.32447805542661884 0.3089522638598534 0.35006957966759494 0.345568268653849 0.3198868311133077 0.3950208522197997 0.31974367874745563 0.35760021338425935 0.3731619181220119 0.3260891016630413 0.4009274975839977 0.3608627840771255 0.398518556859439 0.39646173479524344 0.412665457125807 0.40886166338276914 0.4472011940248487 0.35729120918895774 0.4510632223342174 0.38790289808415523 0.4251325396824095 0.3877034499986403 0.42875907830140414 0.4225337835840283 0.4251083077960484 0.3855619353373374 0.4069768930404702 0.434137465010721 0.4623508072025977 0.4010588001721923 0.44997682347724816 0.41782509881440805 0.44272759030809844 0.4248133323157951 0.46094129646899545 0.4768561214636224 0.5324091576267973 0.3792836696360979 0.42161218942290324
5 GREEN_14_GREEN_17 0.2223308264555847 0.23431724985884692 0.23896464455336905 0.24698120487480527 0.2428752104664535 0.2459853691249312 0.25617864697847886 0.26681383000717473 0.26444332016796074 0.2545136905482134 0.2623991203744276 0.2562547665227912 0.28759629123761526 0.2640957937999286 0.25040255897223385 0.2905793850055253 0.2724460285026774 0.305905492160819 0.2863312317859466 0.27667748392243235 0.29974665341470963 0.2952894295934207 0.29543545470042704 0.29952898567640873 0.2736172126403517 0.29389465222630096 0.28275815948184263 0.290766506633528 0.3185955317629372 0.2681174948653696 0.2888765851862746 0.31861815123559867 0.26065631890039886 0.3034734999431451 0.3078596104700101 0.30943370223142513 0.28609708581918414 0.3451707532143014 0.2803642013257602 0.3550068921151636 0.3110695891201334 0.3316291016469139 0.31293425079403325 0.21816968536725395 0.28977638314547627 0.31512837663661436 0.3372600162532875 0.3860299528611219 0.3297003577192729 0.26337576088814857 0.32156975986832825 0.2303803845285349 0.27284081478162614 0.34151032296282713 0.30546100134320414 0.3702536897261623 0.38201699618040214 0.28759576482377935 0.27466354777907875
6 GREEN_14_GREEN_18 0.8541424528850976 0.8760704998609898 0.8904722327736837 0.901489687266114 0.9058930771589983 0.9139576679441156 0.9154068595644584 0.9195049792052352 0.9305674831055538 0.9273305061081265 0.9409149774220085 0.945446203153381 0.9365851833984337 0.9392900707433368 0.9557730885667627 0.9504871554769659 0.9515743824963054 0.952308761776165 0.9549410343569131 0.9566997492899388 0.9494665060136069 0.9595285381922343 0.9633158288678141 0.9680818052962814 0.9592056622831164 0.9586112175818918 0.9561984182268009 0.9542535989066135 0.951993633197342 0.9708347937808905 0.9594966252866386 0.9677922622710704 0.9622890192764721 0.9752266746228496 0.9651964937015507 0.9748973050176053 0.9663275941352398 0.9673152666114695 0.9704088051183439 0.9763457229989677 0.974850248099065 0.969037391127237 0.9764307469928556 0.9653084344718501 0.9774480875961623 0.9683614884586256 0.9738406928026544 0.9779348466613773 0.9702221535280522 0.9789327361198042 0.9517755818908586 0.9724563283166353 0.9679470517825558 0.9766500286977268 0.9714608626701544 0.9757081718092757 0.9728458602966271 0.9766427784731821 0.9785338170806896
7 GREEN_14_GREEN_19 0.8635785746249426 0.8964161918850988 0.9102318505945884 0.9155465991193434 0.9212335456713087 0.9297044896629822 0.9436533168869753 0.9364562246657858 0.9513933719496559 0.9414113268650349 0.9541323429247416 0.9510540608845729 0.9533058498457674 0.9511805977299793 0.9586914863708752 0.964529058134803 0.9636281599619757 0.9685452926536686 0.9621977092669379 0.962621463864747 0.9706383046411965 0.9662211046058742 0.9681934890311178 0.9682241554648666 0.9743823938439766 0.9669277581709236 0.9725125180436135 0.9724739613965562 0.9761712997840077 0.9744872621253151 0.9703645349789555 0.9739994431287629 0.9713560722221721 0.9775555138356034 0.9733375134575882 0.9784976955955905 0.9680229220092158 0.9732558254185241 0.9775353745746793 0.9791008177053963 0.9780282261136627 0.9758333685557131 0.9797368367279407 0.9719105546045919 0.98564781354155 0.9739600591903874 0.9665992466179727 0.9857326881242099 0.977750712069536 0.9847196085516038 0.9608072323205746 0.9720889287306453 0.9752336290133748 0.983581443431245 0.9823771565381155 0.9835115165826924 0.9825239674130901 0.9836225407801514 0.983651479903022
8 BLUE_14_BLUE_15 0.2357545354709109 0.25267944782558865 0.26457031357599464 0.2665956363368374 0.2667648442721761 0.2709733011659143 0.27468301843090515 0.28457898812269894 0.2840513342042344 0.27893811873429314 0.2910094511388884 0.28276593328410327 0.2891712121011299 0.30144939103219065 0.28504787928583225 0.31709922907609567 0.30595107569309143 0.3272858882499492 0.3143238424764221 0.30580660076154403 0.31949769944176987 0.30382806166744064 0.3450068687956183 0.3414594678846585 0.31437742680954445 0.3905112929001717 0.3130670783618061 0.3516238472339037 0.3670961839942782 0.3210615229725037 0.39704469277867666 0.3568680203789856 0.39280643041331986 0.39129351969940374 0.4056023557958575 0.4037121329184248 0.44001575562787554 0.3501576499887358 0.443902743191801 0.38323690132786514 0.4189161573714526 0.38095327227890735 0.4229854395910018 0.4164304734247225 0.41834216323903967 0.3785827699030464 0.39956209630953277 0.4272636425589561 0.45649434061132355 0.39739008012521354 0.44082489551215037 0.4101450629862047 0.4341298991043436 0.419157659812237 0.4554206958909913 0.46831491341597875 0.5228699782737815 0.3733564955191022 0.41494615078790104
9 BLUE_14_BLUE_17 0.22098539242445103 0.23303360016649127 0.2379521605826565 0.2462126367435864 0.24233738557552778 0.24526822022804642 0.25589386725858954 0.26673475831832577 0.26445744417995204 0.25494949435256253 0.26252684189516745 0.2568976330502353 0.287884644496099 0.2651516136547617 0.25098738682003635 0.2913196058413485 0.2730714831724322 0.3063106512881068 0.28673442933235205 0.2782123615262519 0.3009792651732755 0.2963778605837438 0.29659888580101046 0.3001548015144395 0.27472434756820496 0.29399466852942235 0.2824424493927585 0.2907659761091911 0.31872311645728174 0.26944308908238523 0.2902868532485002 0.3202416329969505 0.2602119775984076 0.304372240174757 0.30716351629224375 0.3101306957760401 0.2830057600333506 0.34337389084729025 0.2775173240717882 0.35550309073691627 0.3092523515051716 0.3312053042224287 0.31033910639274354 0.21894788167607301 0.28838045737969825 0.315210467489502 0.3336104655193095 0.3853294614221743 0.32825412879309895 0.2646997969162616 0.3183762585835414 0.22678697639347595 0.26878795977196446 0.34157067163779326 0.3045062444877252 0.36780053028718246 0.3779836179197136 0.2877756405900985 0.27356737887127774
