time,kd,r2
2018-08-22 11:50:00,2.5779199968592925,-0.9905851471774706
2018-08-22 11:51:00,2.242702691028229,-0.9870549845208912
2018-08-22 11:52:00,2.066605238162353,-0.9986879755175838
2018-08-22 11:53:00,2.1919443740591085,-0.9972585601928032
2018-08-22 11:54:00,1.9685054356011604,-0.9968212617326826
2018-08-22 11:55:00,2.1795285010293357,-0.9989033686008958
2018-08-22 11:56:00,2.0238460288862656,-0.9992877459781316
2018-08-22 11:57:00,1.9877601604506778,-0.9937748254206122
2018-08-22 11:58:00,2.155871428069189,-0.9955580328660659
2018-08-22 11:59:00,2.0500049201250343,-0.9997950205948195
2018-08-22 12:00:00,1.9592728422363774,-0.9970799952516188
2018-08-22 12:01:00,2.0892164365053487,-0.9985899367606494
2018-08-22 12:02:00,2.0731805918722155,-0.9987577912080218
2018-08-22 12:03:00,2.023819252068461,-0.999290201969548
2018-08-22 12:04:00,2.0121657975017833,-0.9982238766048795
2018-08-22 12:05:00,2.082172162075935,-0.9992010028919294
2018-08-22 12:06:00,2.1153227318958026,-0.998849775170155
2018-08-22 12:07:00,2.034940870790964,-0.9976682977976334
2018-08-22 12:08:00,2.0176712085146504,-0.9978000581716708
2018-08-22 12:09:00,2.0283261185218384,-0.993333515385315
2018-08-22 12:10:00,1.9505421929152447,-0.9928201493144638
2018-08-22 12:11:00,2.0002519628455406,-0.9942631076905196
2018-08-22 12:12:00,2.0010611995509557,-0.9976159014503174
2018-08-22 12:13:00,2.039792308612001,-0.9927856624684513
2018-08-22 12:14:00,1.960420356347909,-0.9978826015930532
2018-08-22 12:15:00,2.011812279693742,-0.9968167523767385
2018-08-22 12:16:00,2.1043324402882098,-0.9939132958913179
2018-08-22 12:17:00,2.0701511728795965,-0.9870822336489274
2018-08-22 12:18:00,1.9784437871728175,-0.9968461905219912
2018-08-22 12:19:00,2.027040643114366,-0.9921563267223527
2018-08-22 12:20:00,2.0481645479325414,-0.9972565646970987
2018-08-22 12:21:00,1.9607980226915138,-0.9929806198568987
2018-08-22 12:22:00,2.0532480819745245,-0.9930581612983687
2018-08-22 12:23:00,2.023788733845484,-0.997714892896661
2018-08-22 12:24:00,1.956966883390227,-0.9987585848964234
2018-08-22 12:25:00,2.097343031662987,-0.9906561391977495
2018-08-22 12:26:00,2.022684488357173,-0.9975523564971891
2018-08-22 12:27:00,2.0558488280879614,-0.9976585307048588
2018-08-22 12:28:00,1.9636694377262462,-0.9987882050392779
2018-08-22 12:29:00,2.112720637345414,-0.9822451694629685
2018-08-22 12:30:00,1.9512167961743816,-0.9961541152816782
2018-08-22 12:31:00,2.0282360433585542,-0.9978589944688095
2018-08-22 12:32:00,2.0708975533717515,-0.9945501442807787
2018-08-22 12:33:00,1.9838080173873742,-0.9995557940464317
2018-08-22 12:34:00,2.099213393305937,-0.994577859847623
2018-08-22 12:35:00,1.990449308787614,-0.9971314474656507
2018-08-22 12:36:00,1.971026851757297,-0.9988845844900498
2018-08-22 12:37:00,2.0413249761208383,-0.9932189491384354
2018-08-22 12:38:00,1.9801280935279704,-0.9934433989352563
2018-08-22 12:39:00,1.990325229415833,-0.9951663508530486
2018-08-22 12:40:00,2.0022330074418853,-0.9929131461584645
2018-08-22 12:41:00,2.1631159365322636,-0.9858209751182848
2018-08-22 12:42:00,2.0404171507290045,-0.9983198893395403
2018-08-22 12:43:00,2.0225124235222665,-0.9989853694858843
2018-08-22 12:44:00,2.0712295080790217,-0.9984230449160483
2018-08-22 12:45:00,2.005803133906486,-0.999556460996099
2018-08-22 12:46:00,2.0739567720061145,-0.9997969390657121
2018-08-22 12:47:00,2.07582231114969,-0.9987641369149736
2018-08-22 12:48:00,1.963835372067093,-0.999894212345269
2018-08-22 12:49:00,2.030256805754574,-0.9993815796677803
2018-08-22 12:50:00,2.0284769593386556,-0.9996287069944348
2018-08-22 12:51:00,2.034768243243807,-0.9995203382266226
2018-08-22 12:52:00,2.0457066738623233,-0.9995676514593765
2018-08-22 12:53:00,1.9753034454349419,-0.9993215007960736
2018-08-22 12:54:00,2.0042585534702737,-0.9997590622856201
2018-08-22 12:55:00,2.0298507794473695,-0.9998534519330097
2018-08-22 12:56:00,2.0087354874521717,-0.9996862943272145
2018-08-22 12:57:00,1.993593173608129,-0.9995456127930952
2018-08-22 12:58:00,2.021329641105276,-0.9995270368848792
2018-08-22 12:59:00,2.025942559164619,-0.9992319927518636
2018-08-22 13:00:00,2.0161584246908433,-0.9948496410726533
2018-08-22 13:01:00,2.003623805590239,-0.9997793020925355
2018-08-22 13:02:00,1.985870136102582,-0.9994631182225304
2018-08-22 13:03:00,1.9821000667911342,-0.9998719972709111
2018-08-22 13:04:00,1.9515003104110988,-0.9993788565932409
2018-08-22 13:05:00,1.9747876328247411,-0.9994686947460654
2018-08-22 13:06:00,1.8814522946999164,-0.997854011009903
2018-08-22 13:07:00,1.9637917613936495,-0.9991129053067608
2018-08-22 13:08:00,1.9988160708537,-0.999630360752866
2018-08-22 13:09:00,2.0150128643892584,-0.999731732553922
2018-08-22 13:10:00,2.0444485484833548,-0.9997245164746585
2018-08-22 13:11:00,1.9945255904804156,-0.9991205721903037
2018-08-22 13:12:00,1.9164045349769712,-0.9994214142857383
2018-08-22 13:13:00,2.02163171019025,-0.999408479238437
2018-08-22 13:14:00,2.042627871939458,-0.9998626812112017
2018-08-22 13:15:00,2.0325082713670115,-0.9941322524488025
2018-08-22 13:16:00,1.8946904064499215,-0.9999463315263463
2018-08-22 13:17:00,1.903599384987502,-0.9991730907390524
