,RED_14_RED_15,RED_14_RED_17,RED_14_RED_18,RED_14_RED_19,GREEN_14_GREEN_15,GREEN_14_GREEN_17,GREEN_14_GREEN_18,GREEN_14_GREEN_19,BLUE_14_BLUE_15,BLUE_14_BLUE_17,BLUE_14_BLUE_18,BLUE_14_BLUE_19,CLEAR_14_CLEAR_15,CLEAR_14_CLEAR_17,CLEAR_14_CLEAR_18,CLEAR_14_CLEAR_19,RED_15_RED_17,RED_15_RED_18,RED_15_RED_19,GREEN_15_GREEN_17,GREEN_15_GREEN_18,GREEN_15_GREEN_19,BLUE_15_BLUE_17,BLUE_15_BLUE_18,BLUE_15_BLUE_19,CLEAR_15_CLEAR_17,CLEAR_15_CLEAR_18,CLEAR_15_CLEAR_19,RED_17_RED_18,RED_17_RED_19,GREEN_17_GREEN_18,GREEN_17_GREEN_19,BLUE_17_BLUE_18,BLUE_17_BLUE_19,CLEAR_17_CLEAR_18,CLEAR_17_CLEAR_19,RED_18_RED_19,GREEN_18_GREEN_19,BLUE_18_BLUE_19,CLEAR_18_CLEAR_19
7,0.21075803299479315,0.10130749063575309,0.7489683999314236,0.7524234547394751,0.24710137064545998,0.1653381369570449,0.7899221146200648,0.7883080385911987,0.27311648712631176,0.1714712805324722,0.7833250807552593,0.7943992369020341,0.24596249563950423,0.1567960145941309,0.7745580111140846,0.7849255642205231,0.5403537665586821,0.21620008723653275,0.27715027484401866,0.6295617853722693,0.24860100479669364,0.2852420595017565,0.6501817774360966,0.2618989427435823,0.2863620136108926,0.608479197930857,0.2389590010738245,0.28351208683223245,0.23756172658141733,0.190560362212507,0.27597319109111207,0.23120999385920893,0.28039638227211816,0.23553669177066014,0.26668421457232216,0.21961372215503863,0.5990527144622675,0.6596477613612293,0.6697743443699963,0.6440482483191274
8,0.24694228169013263,0.08640654726118682,0.7333413398906151,0.7530077032864099,0.2801850269311549,0.14805217265690546,0.7721524540354529,0.7884412412459767,0.30462140791056674,0.1556099536742837,0.7625376689204009,0.7949940851752015,0.2744130409861894,0.13945752649032864,0.7594272901021158,0.7842440827811679,0.4594259159497718,0.2541373999872724,0.28857392169707335,0.5512763820295238,0.2751445118261618,0.29465868078783747,0.5754903189800845,0.28754537181756595,0.296672259793573,0.5321785460220188,0.2721350962144367,0.29423645164351064,0.15375164226014812,0.10021289056755872,0.1953786035441505,0.15106870598857444,0.19557822605216227,0.16919604365891325,0.18912545264668373,0.1376688070436908,0.5593271694064245,0.6202681196852868,0.6434329607944483,0.6063729147173383
9,0.24999591454045558,0.07692634094158397,0.7950772829654157,0.7705407303723971,0.2776417383869694,0.14294582050548635,0.8285644005092766,0.806011914564905,0.3026872069340716,0.15236118092038253,0.8213160504369491,0.8237530484615705,0.2737643252697343,0.1337016098529222,0.8172411104635665,0.804103140376738,0.49501553448261154,0.18180550280629576,0.27929785306987404,0.5897287671524019,0.21367085911210584,0.28376505237101235,0.613466208295548,0.22776767639755216,0.2837887286352739,0.5685662040792167,0.21012309791090214,0.2838552365817979,0.15199346326991592,0.12711955980587647,0.1991178925533721,0.17524568505400817,0.2017688598913991,0.19006535106522246,0.19105114118898112,0.1630701048159372,0.6191138352421112,0.6737026130811996,0.7011176082179387,0.6599339175047156
10,0.2091458928077819,0.1671305980642898,0.7878942370172126,0.7570353578944182,0.2413450454949394,0.21750935121147183,0.8247171067631114,0.7935512110729036,0.26295593852052196,0.221965479956569,0.8210419666480626,0.8061656621507296,0.2391489747943645,0.21411111774157038,0.8173962822188472,0.7876119000593464,0.6645605133750335,0.26158517774605666,0.2621150372138642,0.7283120368076179,0.27171712303305035,0.2693343741295479,0.7480734071014069,0.28423472891434853,0.26494440548575937,0.7147934337167962,0.2708224620367462,0.2668313640996414,0.25161039674422825,0.17356263956748275,0.2800725350155834,0.21499609421158117,0.2822363185909509,0.2251208733169602,0.27548490407516996,0.20242800471569058,0.588803389020985,0.6511902231877228,0.6587034134954126,0.6362386104146478
11,0.22233805857318464,0.18942707473436338,0.8437042052575707,0.7647393199781721,0.25487106338600357,0.242044584894004,0.8725985993378995,0.8002858162122848,0.28096244196715575,0.24609733215984997,0.8706380548221901,0.827415630202294,0.2554367944984021,0.23929225031801651,0.8682443378819346,0.7965178749573885,0.586841452676032,0.18833842227610056,0.30113023573157827,0.6698891366400657,0.2222899419902573,0.3018212424427173,0.6926462553732317,0.2363916287134122,0.29318186381042044,0.651088074676756,0.21467918642881836,0.30082521558158487,0.2312451326924593,0.20309374949737685,0.27359878618398187,0.2442918524640019,0.2773900513020338,0.2534758134501722,0.26711735835322903,0.23278685397090831,0.6091081877638523,0.6712341899550682,0.6973775814676305,0.656012550457222
12,0.23835457433751617,0.15331474018318836,0.8405943332904509,0.7940764831271734,0.2640130198084218,0.21003293113692742,0.8661976786505503,0.8249829717831142,0.28676762885125323,0.2198045585820541,0.8682971362761546,0.82693464010502,0.265800136671559,0.20436347038359345,0.8584778843078492,0.8256494436241532,0.6274100025400132,0.22938461799979867,0.2989410466488813,0.7014630402174683,0.2488121565251944,0.29510155372429064,0.7190589088761218,0.26019460538627776,0.2953679497456495,0.6864940403116191,0.2474074283056121,0.2952486122246829,0.24997839938267644,0.23207027649574258,0.2851001991991053,0.26622467814726647,0.2922068263438628,0.282064622306746,0.27893626339644134,0.2589287117901311,0.6475691350466546,0.7035127927683692,0.7149591015587934,0.694021586801739
13,0.24688364822121242,0.04626594470841649,0.8498542955047443,0.7678011914758847,0.27677853332812974,0.11580194372824752,0.8751774532706502,0.802193305317952,0.29846634122074556,0.12827633557330206,0.878746626223104,0.8260807962861513,0.27502190185512265,0.1053437778394885,0.8638351798728695,0.7991507872429803,0.4802484683669901,0.2890133099638724,0.3093305681490902,0.5716172571978443,0.30633090807040514,0.3140136584160326,0.5978788344107554,0.32006274852321626,0.30960017859040684,0.5518037293379888,0.3033782349600479,0.31091169737323476,0.1072917853347419,0.11154347948621923,0.16206169961760014,0.16049343508337768,0.17687700855530739,0.17034054840331603,0.15239996403384998,0.1486820835836018,0.6688824384911147,0.7214348826043397,0.7410913524128656,0.7088728424528736
14,0.2856813314453889,0.0055087715375454855,0.8764175467799364,0.8032500412654379,0.3148358193513437,0.0866289754404348,0.8976446889340746,0.8330479122974727,0.3354749362505961,0.10916387602904436,0.8944386197866906,0.8368204999665351,0.3124103831319578,0.07402723061084515,0.8888443439186846,0.8323907007731942,0.49283228466824186,0.2949302286332706,0.3364728417043292,0.580937697702592,0.3175801379352558,0.33989359890558185,0.6096975622504825,0.3317515852738758,0.33917965998763533,0.5624462095622746,0.31183270352636605,0.33602873688068874,0.017438483006536897,0.10840663915896562,0.09166261977830138,0.16256618693687006,0.11047802291158955,0.18287462456349232,0.07987859107434779,0.15090445007545644,0.7152649123279762,0.7604693099949856,0.7683805939123108,0.7522594208065155
15,0.22501949495999177,0.18318384248716646,0.9108356673224274,0.8215844564474918,0.2524605866194092,0.23963295234501591,0.9280375063270231,0.8473982814435915,0.27172357644996703,0.245637630455203,0.9270122721069765,0.8535953771638254,0.2558049337036512,0.23539855986777122,0.9264422441912559,0.8454894012276924,0.7329611302060203,0.2517253042006738,0.28215200319058026,0.7914795131748467,0.26694571031940423,0.2849187864239235,0.8090643689274281,0.2804792676169367,0.286122824084677,0.7784413121979005,0.2672739262499875,0.2812892790697725,0.18718288841415692,0.25946933056232274,0.2432680810519977,0.28898658127862653,0.2477619337387241,0.293446626197907,0.23292963988784413,0.2801455309907758,0.7396507728817069,0.7839560120305868,0.7888994866754888,0.7738970014229885
16,0.3522573498789369,0.015730303155938336,0.8870561558305572,0.8278286102829197,0.37412687073739676,0.08877572475249487,0.9049571197692332,0.8546695681888244,0.39577485011474267,0.11024815835292238,0.9050256138387696,0.8624124862847883,0.3715826568284543,0.07620724636217042,0.8969890294831186,0.8566707998707265,0.3880540226513844,0.30106424694638795,0.36180911747834377,0.4805270638527238,0.31829433329585716,0.3611384085573342,0.5104730264972651,0.33147248088201225,0.3614232559435826,0.4606042244868747,0.31861668889582734,0.35899646397390794,-0.04439707982973913,-0.010270029350907503,0.020592033294227277,0.05447394294755344,0.03694235768921569,0.07192475070882832,0.008439070953555438,0.03973956768020841,0.667560983951085,0.7161947465217944,0.7316448449539646,0.7091930813412181
